Cast % (All)
 on 5826 == -3

Cooldown | (SC_ESCAPE)
 on 490316 == -0.5s

Cooldown | 16th Night
 combo 29509+312845 == -30s
 on 490691 == -25s
 on 490654 == -25s
 on 490640 == -25s
 on 32262 == -25s

Cooldown | Abyss Dagger
 combo 29509+312033 == -0.2s
 combo 29509+313269 == -0.10s

Cooldown | Acid Demonstration
 on 15829 == -0.3s
 on 400677 == -0.10s
 on 400676 == -0.10s

Cooldown | Acidified Zone Fire
 combo 29509+312043 == -0.3s
 combo 29509+312301 == -0.2s

Cooldown | Acidified Zone Ground
 combo 29509+312043 == -0.3s
 combo 29509+312301 == -0.2s

Cooldown | Acidified Zone Water
 combo 29509+312043 == -0.3s
 combo 29509+312301 == -0.2s

Cooldown | Acidified Zone Wind
 combo 29509+312043 == -0.3s
 combo 29509+312301 == -0.2s

Cooldown | Adoramus
 combo 29599+300538+480427 == -50*.@r ^FF0000หาร 1000^000000s
 on 470182 == -1s
 combo 4685+490596 == -1s
 combo 16089+22259 == -1s
 combo 400482+550020 == -1s
 combo 22222+15163 == -1s
 combo 24693+24694+24695+24696+24697+24706 == -1s
 combo 24597+24584+24585+24586+24587+24588 == -1s
 combo 16089+22259+24292 == -1s
 combo 24292+24305 == -1s
 combo 29599+470271 == -1.5s
 combo 16089+480088 == -0.5s
 combo 2057+470318 == -0.3s

Cooldown | Aimed Bolt
 on 311238 == -1s
 on 700046 == -1s
 on 700043 == -1s
 on 700023 == -1s
 on 700019 == -1s
 on 700003 == -1s
 on 470329 == -1s
 on 18201 == -1s
 on 18198 == -1s
 on 18186 == -1s
 combo 18174+420312 == -1s
 combo 18174+420251 == -1s
 combo 22257+19199 == -0.5s
 combo 29509+312811 == -0.3s
 combo 490145+29509 == -0.3s

Cooldown | Anti-Material Blast
 on 410186 == -5s
 on 410185 == -5s
 on 28236 == -5s
 combo 29509+313306 == -5s
 on 400549 == -2s
 on 20857 == -2s
 on 28223 == -1s

Cooldown | Arbitrium
 combo 29371+312038 == -0.5s

Cooldown | Arm Cannon
 combo 29595+300535+480427 == -100*.@r ^FF0000หาร 1000^000000s
 combo 18974+490607 == -0.5s
 combo 2996+15344+20733+22044+420324 == -0.3s
 combo 18974+490412 == -0.3s
 combo 32286+480024 == -0.2s

Cooldown | Arrow Storm
 combo 29686+490587 == -300*(.@r/2) ^FF0000หาร 1000^000000s
 combo 18119+400648 == -2s
 combo 18178+400022 == -2.5s
 combo 400266+700054 == -2.5s
 combo 480359+700057 == -2.5s
 on 19484 == -1s
 on 700045 == -1s
 on 700007 == -1s
 combo 400116+18187 == -1.8s
 combo 19199+29342 == -1.5s
 combo 18122+400476 == -1.5s
 combo 4687+490596 == -1.5s
 on 311044 == -1.2s
 on 311239 == -1.2s
 on 700034 == -1.2s
 on 700031 == -1.2s
 on 700024 == -0.7s
 on 18187 == -0.7s
 on 700042 == -0.7s
 combo 29600+470264 == -0.7s
 on 700015 == -0.7s
 combo 19199+29341 == -0.5s
 combo 18187+470300 == -0.5s
 combo 480024+18984 == -0.5s
 on 450251 == -0.3s
 on 480094 == -0.3s
 combo 29509+310949 == -0.3s
 combo 29509+312833 == -0.2s
 on 480314 == -0.2s
 on 20931 == -0.2s
 on 480313 == -0.2s
 on 450379 == -0.2s
 on 400203 == 0.2s

Cooldown | Assimilate Power
 on 490013 == -3s
 on 28503 == -3s
 combo 29509+312842 == -3s
 on 32247 == -1.5s

Cooldown | Axe Boomerang
